Time,Solar,Wind,Geothermal,Biomass,Biogas,Small Hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other
2025-01-01 00:00:00,0,893,789,244,178,198,0,2274,7786,2093,1402,6280,0
2025-01-01 00:30:00,0,745,788,241,178,195,0,2274,7404,2024,1469,6454,0
2025-01-01 01:00:00,0,650,789,241,178,196,0,2272,7351,1986,1581,6234,0
2025-01-01 01:30:00,0,618,788,244,178,195,0,2272,7351,1982,1428,6108,0
2025-01-01 02:00:00,0,549,788,244,178,193,0,2271,7232,1986,1212,5884,0
2025-01-01 02:30:00,0,464,788,225,179,191,0,2271,7182,1981,884,5908,0
2025-01-01 03:00:00,0,399,789,219,179,191,0,2271,7200,1990,632,6007,0
2025-01-01 03:30:00,0,380,790,236,179,190,0,2270,7250,1977,448,6011,0
2025-01-01 04:00:00,0,359,790,242,179,190,0,2270,7166,1993,308,6245,0
2025-01-01 04:30:00,0,387,789,238,179,191,0,2270,7326,1981,295,6169,0
2025-01-01 05:00:00,0,337,790,238,178,203,0,2271,7307,2073,414,6086,0
2025-01-01 05:30:00,0,270,793,240,178,211,0,2271,7250,2114,519,6122,0
2025-01-01 06:00:00,0,204,794,238,178,211,0,2272,7288,2167,926,5936,0
2025-01-01 06:30:00,0,209,794,240,178,211,0,2272,7342,2182,990,6076,0
2025-01-01 07:00:00,713,240,798,240,178,211,0,2271,6954,2078,848,6412,0
2025-01-01 07:30:00,3616,252,791,239,178,210,0,2272,5982,1993,0,6127,0
2025-01-01 08:00:00,7504,224,791,239,178,210,0,2271,4304,1660,0,5067,0
2025-01-01 08:30:00,10840,191,791,238,178,209,0,2271,2796,1527,0,4914,0
2025-01-01 09:00:00,12689,201,789,237,178,197,0,2271,2566,1326,0,4622,0
2025-01-01 09:30:00,13774,236,786,238,178,189,0,2271,2325,1167,0,3587,0
2025-01-01 10:00:00,13802,289,787,239,178,189,0,2270,2277,1137,0,3063,0
2025-01-01 10:30:00,13596,298,784,242,179,190,0,2271,2277,1096,0,2833,0
2025-01-01 11:00:00,13166,306,788,240,179,190,0,2271,2333,1076,0,2643,0
2025-01-01 11:30:00,13287,452,786,240,179,189,0,2270,2333,1006,0,2824,0
2025-01-01 12:00:00,13381,685,784,238,179,189,0,2270,2333,1074,0,3120,0
2025-01-01 12:30:00,13339,880,782,241,175,189,0,2270,2330,1004,0,3022,0
2025-01-01 13:00:00,13683,1056,782,243,175,189,0,2270,2332,998,0,2684,0
2025-01-01 13:30:00,13396,1166,782,245,175,188,0,2270,2408,1001,0,2108,0
2025-01-01 14:00:00,12267,1234,782,246,175,188,0,2269,2469,1067,0,2892,0
2025-01-01 14:30:00,11381,1299,780,245,174,190,0,2269,2681,1081,0,2655,0
2025-01-01 15:00:00,10142,1267,778,244,174,188,0,2269,2875,1377,0,2853,0
2025-01-01 15:30:00,7381,1121,783,244,177,187,0,2268,3574,1537,218,3932,0
2025-01-01 16:00:00,2947,958,780,245,179,191,0,2267,4414,1857,1624,6633,0
2025-01-01 16:30:00,528,1046,779,245,179,194,0,2268,5124,1919,3971,7255,0
2025-01-01 17:00:00,34,1166,783,242,178,203,0,2268,5437,2156,4664,7615,0
2025-01-01 17:30:00,0,1232,800,244,178,213,0,2269,5448,2251,5137,7720,0
2025-01-01 18:00:00,0,1264,798,244,178,213,0,2270,5462,2618,4547,7829,0
2025-01-01 18:30:00,0,1356,718,242,178,212,0,2269,5536,2698,4325,7885,0
2025-01-01 19:00:00,0,1468,660,242,177,213,0,2269,5648,2750,3906,8016,0
2025-01-01 19:30:00,0,1485,665,242,178,213,0,2270,5753,2767,3375,8263,0
2025-01-01 20:00:00,0,1525,670,239,178,213,0,2270,5774,2736,3284,8008,0
