"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2026 00:00:00 - 01/01/2026 01:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 00:00:00 - 01/01/2026 01:00:00","Belgium (BE)","France (FR)","2529.38"
"01/01/2026 00:00:00 - 01/01/2026 01:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 00:00:00 - 01/01/2026 01:00:00","Germany (DE)","France (FR)","1030.94"
"01/01/2026 00:00:00 - 01/01/2026 01:00:00","France (FR)","Italy (IT)","1351.74"
"01/01/2026 00:00:00 - 01/01/2026 01:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 00:00:00 - 01/01/2026 01:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 00:00:00 - 01/01/2026 01:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 00:00:00 - 01/01/2026 01:00:00","France (FR)","Spain (ES)","1604.72"
"01/01/2026 00:00:00 - 01/01/2026 01:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 00:00:00 - 01/01/2026 01:00:00","France (FR)","Switzerland (CH)","652.36"
"01/01/2026 00:00:00 - 01/01/2026 01:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 00:00:00 - 01/01/2026 01:00:00","France (FR)","United Kingdom (GB-CTY)","0.00"
"01/01/2026 00:00:00 - 01/01/2026 01:00:00","United Kingdom (GB-CTY)","France (FR)","2261.39"
"01/01/2026 01:00:00 - 01/01/2026 02:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 01:00:00 - 01/01/2026 02:00:00","Belgium (BE)","France (FR)","2689.55"
"01/01/2026 01:00:00 - 01/01/2026 02:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 01:00:00 - 01/01/2026 02:00:00","Germany (DE)","France (FR)","1450.38"
"01/01/2026 01:00:00 - 01/01/2026 02:00:00","France (FR)","Italy (IT)","1290.81"
"01/01/2026 01:00:00 - 01/01/2026 02:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 01:00:00 - 01/01/2026 02:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 01:00:00 - 01/01/2026 02:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 01:00:00 - 01/01/2026 02:00:00","France (FR)","Spain (ES)","1634.23"
"01/01/2026 01:00:00 - 01/01/2026 02:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 01:00:00 - 01/01/2026 02:00:00","France (FR)","Switzerland (CH)","669.40"
"01/01/2026 01:00:00 - 01/01/2026 02:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 01:00:00 - 01/01/2026 02:00:00","France (FR)","United Kingdom (GB-CTY)","0.00"
"01/01/2026 01:00:00 - 01/01/2026 02:00:00","United Kingdom (GB-CTY)","France (FR)","2038.07"
"01/01/2026 02:00:00 - 01/01/2026 03:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 02:00:00 - 01/01/2026 03:00:00","Belgium (BE)","France (FR)","2612.43"
"01/01/2026 02:00:00 - 01/01/2026 03:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 02:00:00 - 01/01/2026 03:00:00","Germany (DE)","France (FR)","1590.18"
"01/01/2026 02:00:00 - 01/01/2026 03:00:00","France (FR)","Italy (IT)","958.20"
"01/01/2026 02:00:00 - 01/01/2026 03:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 02:00:00 - 01/01/2026 03:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 02:00:00 - 01/01/2026 03:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 02:00:00 - 01/01/2026 03:00:00","France (FR)","Spain (ES)","1629.79"
"01/01/2026 02:00:00 - 01/01/2026 03:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 02:00:00 - 01/01/2026 03:00:00","France (FR)","Switzerland (CH)","677.39"
"01/01/2026 02:00:00 - 01/01/2026 03:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 02:00:00 - 01/01/2026 03:00:00","France (FR)","United Kingdom (GB-CTY)","0.00"
"01/01/2026 02:00:00 - 01/01/2026 03:00:00","United Kingdom (GB-CTY)","France (FR)","2720.00"
"01/01/2026 03:00:00 - 01/01/2026 04:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 03:00:00 - 01/01/2026 04:00:00","Belgium (BE)","France (FR)","2718.15"
"01/01/2026 03:00:00 - 01/01/2026 04:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 03:00:00 - 01/01/2026 04:00:00","Germany (DE)","France (FR)","1605.82"
"01/01/2026 03:00:00 - 01/01/2026 04:00:00","France (FR)","Italy (IT)","903.37"
"01/01/2026 03:00:00 - 01/01/2026 04:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 03:00:00 - 01/01/2026 04:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 03:00:00 - 01/01/2026 04:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 03:00:00 - 01/01/2026 04:00:00","France (FR)","Spain (ES)","1762.77"
"01/01/2026 03:00:00 - 01/01/2026 04:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 03:00:00 - 01/01/2026 04:00:00","France (FR)","Switzerland (CH)","610.80"
"01/01/2026 03:00:00 - 01/01/2026 04:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 03:00:00 - 01/01/2026 04:00:00","France (FR)","United Kingdom (GB-CTY)","0.00"
"01/01/2026 03:00:00 - 01/01/2026 04:00:00","United Kingdom (GB-CTY)","France (FR)","2043.22"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","Belgium (BE)","France (FR)","2697.12"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","Germany (DE)","France (FR)","1374.93"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","France (FR)","Italy (IT)","795.58"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","France (FR)","Spain (ES)","1091.23"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","France (FR)","Switzerland (CH)","714.12"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 04:00:00 - 01/01/2026 05:00:00","France (FR)","United Kingdom (GB-CTY)","0.00"
