,Biomass,Energy storage,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and pondage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,BE,CH,DE,ES,GB-CTY,IT,LU
2026-01-01 00:00:00,342,0,0,0,2116,0,109,0,0,0,187,4411,687,0,47140,0,0,0,301,1366,9574,1111,0,0,0,1237,0,0
2026-01-01 00:30:00,362,0,0,0,1890,0,110,0,0,0,149,4409,724,0,45043,0,0,0,299,1366,9801,1111,0,0,0,1237,0,0
2026-01-01 01:00:00,360,0,0,0,1764,0,110,0,0,0,251,4357,726,0,44815,0,0,0,299,1383,9980,1092,0,0,0,1224,0,0
2026-01-01 01:30:00,360,0,0,0,1752,0,110,0,0,0,248,4284,749,0,44465,0,0,0,297,1375,10146,1092,0,0,0,1224,0,0
2026-01-01 02:00:00,359,0,0,0,1630,0,111,0,0,0,63,4282,729,0,44642,0,0,0,296,1382,10190,1285,0,0,0,1137,0,0
2026-01-01 02:30:00,361,0,0,0,1611,0,111,0,0,0,1,4226,658,0,43868,0,0,0,295,1375,10236,1285,0,0,0,1137,0,0
2026-01-01 03:00:00,360,0,0,0,1605,0,110,0,0,0,4,4177,227,0,43233,0,0,0,293,1367,10449,1150,0,0,0,1168,0,0
2026-01-01 03:30:00,357,0,0,0,1641,0,111,0,0,0,0,4091,206,0,42247,0,0,0,296,1397,10547,1150,0,0,0,1168,0,0
2026-01-01 04:00:00,358,0,0,0,1634,0,111,0,0,0,0,3963,210,0,41535,0,0,0,297,1415,10666,1195,0,0,0,1152,0,0
2026-01-01 04:30:00,359,0,0,0,1637,0,111,0,0,0,0,3797,208,0,40994,0,0,0,295,1414,10813,1195,0,0,0,1152,0,0
2026-01-01 05:00:00,361,0,0,0,1625,0,111,0,0,0,0,3760,423,0,41244,0,0,0,296,1409,10972,1004,0,0,0,1225,0,0
2026-01-01 05:30:00,361,0,0,0,1657,0,111,0,0,0,1,3761,426,0,40948,0,0,0,294,1419,11144,1004,0,0,0,1225,0,0
2026-01-01 06:00:00,359,0,0,0,1633,0,111,0,0,0,0,3762,385,0,41634,0,0,0,294,1429,11540,1046,0,0,0,1236,0,0
2026-01-01 06:30:00,359,0,0,0,1654,0,111,0,0,0,0,3858,246,0,41521,0,0,0,295,1436,11893,1046,0,0,0,1236,0,0
2026-01-01 07:00:00,359,0,0,0,1832,0,111,0,0,0,0,3929,286,0,40890,0,0,0,296,1437,12192,1044,0,0,0,1236,0,0
2026-01-01 07:30:00,359,0,0,0,1855,0,110,0,0,0,0,3864,333,0,40663,0,0,0,295,1437,12391,1044,0,0,0,1236,0,0
2026-01-01 08:00:00,360,0,0,0,1859,0,111,0,0,0,86,3862,247,0,41450,0,0,344,297,1437,12588,771,0,0,0,953,0,0
2026-01-01 08:30:00,360,0,0,0,1865,0,110,0,0,0,7,3924,253,0,42076,0,0,483,301,1438,12834,771,0,0,0,953,0,0
