Time,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Water Reservoir,Nuclear,Other,Wind Onshore,??,BE,DK,FR,IE,NL,NO
2025-01-01 00:00:00,962,3711,0,0,0,744,5062,223,15799,0,564,0,2542,610,0,0
2025-01-01 00:30:00,1097,3935,0,0,0,745,5059,281,15317,0,562,0,2534,404,0,0
2025-01-01 01:00:00,1106,3769,0,0,0,744,5056,293,14992,0,198,0,2346,506,0,0
2025-01-01 01:30:00,1083,3719,0,0,0,745,5057,223,14580,0,200,0,2342,454,0,0
2025-01-01 02:00:00,1007,3675,0,0,0,737,5057,229,14685,0,630,0,2440,484,0,288
2025-01-01 02:30:00,818,3260,0,0,0,757,5054,241,15020,0,640,0,2442,466,0,322
2025-01-01 03:00:00,794,3012,0,0,0,763,5056,259,14831,0,782,0,2390,512,0,330
2025-01-01 03:30:00,788,2974,0,0,0,764,5056,205,15021,0,782,0,2396,534,0,348
2025-01-01 04:00:00,796,2915,0,0,0,763,5057,315,15078,0,858,264,2564,534,0,542
2025-01-01 04:30:00,837,2809,0,0,0,762,5047,375,14844,0,858,282,2574,588,0,586
2025-01-01 05:00:00,859,2928,0,0,0,760,5059,314,14732,0,790,284,2572,626,0,826
2025-01-01 05:30:00,854,2798,0,0,0,759,5058,252,14897,0,782,282,2572,472,0,826
2025-01-01 06:00:00,776,2672,0,0,0,753,5060,263,15220,0,340,166,2574,322,0,524
2025-01-01 06:30:00,771,2662,0,0,0,747,5068,230,15208,0,322,146,2548,208,0,490
2025-01-01 07:00:00,765,2654,0,0,0,770,5067,193,14793,0,0,0,1924,312,0,444
2025-01-01 07:30:00,773,2666,0,0,0,773,5063,214,14333,0,0,0,1896,310,0,430
2025-01-01 08:00:00,781,2602,0,0,0,771,5063,254,14112,0,0,0,1612,460,0,24
2025-01-01 08:30:00,796,2283,0,0,0,771,5055,708,14301,0,0,0,1552,634,0,0
2025-01-01 09:00:00,783,2267,0,0,0,770,5064,316,14558,0,0,0,324,822,0,0
2025-01-01 09:30:00,797,2074,0,0,0,769,5058,498,14907,0,0,0,240,830,0,0
2025-01-01 10:00:00,831,1954,0,0,0,773,5057,415,15026,0,0,0,0,830,0,0
2025-01-01 10:30:00,981,2088,0,0,0,789,5060,633,14953,0,0,0,0,904,0,0
2025-01-01 11:00:00,1063,1826,0,0,0,831,5056,255,14923,0,0,0,0,980,0,0
2025-01-01 11:30:00,1135,1833,0,0,0,998,5054,288,14908,0,0,0,0,948,0,0
2025-01-01 12:00:00,1149,2062,0,0,0,1010,5047,267,14927,0,0,0,0,736,0,0
2025-01-01 12:30:00,1153,2343,0,0,0,1032,5047,279,15045,0,0,0,0,694,0,0
2025-01-01 13:00:00,1249,2397,0,0,4,1095,5046,243,15258,0,0,0,0,584,0,0
2025-01-01 13:30:00,1369,2649,0,0,32,1110,5049,277,14980,0,0,0,0,680,0,0
2025-01-01 14:00:00,1555,2496,0,0,0,1057,5051,264,15115,0,0,0,0,660,0,0
2025-01-01 14:30:00,1953,3072,0,0,0,1040,5054,327,14464,0,0,0,0,636,0,0
2025-01-01 15:00:00,2267,4425,0,0,200,1040,5051,361,13197,0,0,0,0,852,0,0
2025-01-01 15:30:00,2386,5057,0,0,306,1044,5062,506,12500,0,0,0,0,914,0,0
2025-01-01 16:00:00,2404,5206,0,0,590,1115,5057,742,12818,0,0,0,0,960,0,0
2025-01-01 16:30:00,2422,6207,0,0,778,1115,5055,870,13009,0,0,0,0,980,0,0
2025-01-01 17:00:00,2436,6570,0,0,812,1127,5061,1031,12780,0,0,0,0,980,0,0
2025-01-01 17:30:00,2445,6578,0,0,834,1130,5062,1026,12730,0,0,0,0,980,0,0
2025-01-01 18:00:00,2451,6635,0,0,980,1130,5055,975,12149,0,0,0,0,980,0,0
2025-01-01 18:30:00,2441,6572,0,0,744,1132,5063,800,12115,0,0,0,0,982,0,0
2025-01-01 19:00:00,2443,6397,0,0,596,1075,5054,618,11929,0,0,0,0,980,0,0
2025-01-01 19:30:00,2444,6313,0,0,512,1070,5059,442,11687,0,0,0,0,980,0,0
2025-01-01 20:00:00,2458,6285,0,0,442,1038,5060,333,11363,0,0,0,0,978,0,0
2025-01-01 20:30:00,2458,5947,0,0,210,1021,5061,364,10726,0,0,0,0,978,0,0
2025-01-01 21:00:00,2459,5259,0,0,166,1011,5054,454,10323,0,0,0,0,978,0,0
2025-01-01 21:30:00,2458,4704,0,0,218,993,5063,464,9733,0,0,0,0,978,0,0
2025-01-01 22:00:00,2456,4188,0,0,242,991,5056,313,9466,0,0,0,0,978,0,0
2025-01-01 22:30:00,2442,3795,0,0,296,991,5060,210,8632,0,0,0,0,954,0,0
2025-01-01 23:00:00,2457,3023,0,0,140,983,5061,192,8587,0,0,0,0,830,0,0
2025-01-01 23:30:00,2459,2740,0,0,0,936,5061,189,8389,0,0,0,0,742,0,0
2025-01-02 00:00:00,2437,2735,0,0,332,924,5058,297,7429,0,0,0,0,572,0,0
2025-01-02 00:30:00,2452,2889,0,0,280,888,5062,451,7573,0,0,0,0,476,0,0
2025-01-02 01:00:00,2440,2809,0,0,66,873,5067,416,7494,0,0,0,0,442,0,0
2025-01-02 01:30:00,2404,2366,0,0,0,769,5063,293,7940,0,0,0,0,568,0,0
2025-01-02 02:00:00,2267,2052,0,0,42,745,5054,277,8382,0,0,0,0,788,0,0
2025-01-02 02:30:00,2335,2158,0,0,40,744,5058,318,7557,0,0,0,0,862,0,0
2025-01-02 03:00:00,2434,2115,0,0,0,745,5052,330,7756,0,0,0,0,844,0,0
2025-01-02 03:30:00,2336,2107,0,0,0,743,5050,217,8347,0,0,0,0,834,0,0
2025-01-02 04:00:00,2361,2436,0,0,0,743,5053,208,7796,0,0,0,0,830,0,0
2025-01-02 04:30:00,2187,2590,0,0,0,743,5053,197,8157,0,0,0,0,830,0,0
2025-01-02 05:00:00,1791,2908,0,0,0,743,5053,309,8322,0,0,0,0,832,0,0
2025-01-02 05:30:00,1838,3183,0,0,0,744,5051,210,8713,0,0,0,0,822,0,0
2025-01-02 06:00:00,1791,4514,0,0,0,847,5048,376,8475,0,0,0,0,716,0,0
2025-01-02 06:30:00,1803,6612,0,0,92,953,5053,388,7981,0,48,0,0,608,0,0
2025-01-02 07:00:00,1800,8966,0,0,306,980,5054,720,8362,0,854,0,0,596,0,0
2025-01-02 07:30:00,1806,10271,0,0,314,978,5057,738,8899,0,850,0,0,678,0,0
2025-01-02 08:00:00,1811,10839,0,0,428,959,5051,495,9506,0,0,0,0,906,0,0
2025-01-02 08:30:00,1811,11883,0,0,518,966,5055,574,9139,0,0,0,0,916,0,0
2025-01-02 09:00:00,1769,12245,0,0,304,978,5067,464,9175,0,0,0,0,976,0,0
2025-01-02 09:30:00,1766,12046,0,0,0,972,5065,335,9917,0,0,0,0,980,0,0
2025-01-02 10:00:00,1766,12362,0,0,76,957,5057,245,9771,0,0,0,0,982,0,0
2025-01-02 10:30:00,1718,12354,0,0,0,956,5057,229,9592,0,0,0,0,982,0,0
2025-01-02 11:00:00,1715,12391,0,0,116,956,5059,245,9745,0,84,0,0,982,0,0
2025-01-02 11:30:00,1730,12011,0,0,234,955,5048,226,9745,0,70,0,0,982,0,0
2025-01-02 12:00:00,1811,11323,0,0,0,954,5047,254,10433,0,0,0,0,982,0,0
2025-01-02 12:30:00,1812,11554,0,0,62,953,5051,225,10281,0,0,0,0,980,0,0
2025-01-02 13:00:00,1799,12257,0,0,8,944,5047,245,9657,0,0,0,0,982,0,0
2025-01-02 13:30:00,1801,12392,0,0,0,1020,5048,206,9864,0,0,0,0,982,0,0
2025-01-02 14:00:00,1808,12918,0,0,214,1105,5048,299,9912,0,0,0,0,984,0,0
2025-01-02 14:30:00,1810,13707,0,0,564,1106,5049,240,10161,0,0,0,0,982,0,0
2025-01-02 15:00:00,1813,13907,0,0,1030,1117,5047,495,10266,0,0,0,0,982,0,0
2025-01-02 15:30:00,1813,14507,0,0,1306,1118,5045,459,10575,0,0,0,0,982,0,0
2025-01-02 16:00:00,1809,14718,0,0,1326,1154,5050,516,10648,0,0,0,0,982,0,0
2025-01-02 16:30:00,1819,15259,0,0,1498,1154,5047,1090,10222,0,0,0,0,982,0,0
2025-01-02 17:00:00,1813,15461,0,0,1372,1153,5046,1181,10435,0,0,0,0,982,0,0
2025-01-02 17:30:00,1811,15123,0,0,1330,1119,5054,1033,11520,0,0,0,0,982,0,0
2025-01-02 18:00:00,1817,15218,0,0,1222,993,5051,650,12249,0,0,0,0,982,0,0
2025-01-02 18:30:00,1809,15109,0,0,954,990,5060,528,12297,0,0,0,0,982,0,0
2025-01-02 19:00:00,1805,14970,0,0,386,974,5059,371,12746,0,0,0,0,982,0,0
2025-01-02 19:30:00,1807,14108,0,0,0,970,5062,236,12723,0,0,0,0,982,0,0
2025-01-02 20:00:00,1813,12462,0,0,0,933,5053,403,12618,0,0,0,0,982,0,0
2025-01-02 20:30:00,1789,11220,0,0,0,931,5050,449,12471,0,0,0,0,982,0,0
2025-01-02 21:00:00,1791,9466,0,0,0,921,5052,428,12657,0,0,0,0,980,0,0
