"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Germany (DE)","Biomass","4110.43"
"01/01/2026 00:15:00 - 01/01/2026 00:30:00","Germany (DE)","Biomass","4101.77"
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","Germany (DE)","Biomass","4102.48"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Germany (DE)","Biomass","4091.36"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Germany (DE)","Biomass","4075.38"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Germany (DE)","Biomass","4068.15"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Germany (DE)","Biomass","4075.26"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Germany (DE)","Biomass","4072.96"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Germany (DE)","Biomass","4071.76"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Germany (DE)","Biomass","4072.13"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Germany (DE)","Biomass","4063.78"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Germany (DE)","Biomass","4067.85"
"01/01/2026 03:00:00 - 01/01/2026 03:15:00","Germany (DE)","Biomass","4064.66"
"01/01/2026 03:15:00 - 01/01/2026 03:30:00","Germany (DE)","Biomass","4070.60"
"01/01/2026 03:30:00 - 01/01/2026 03:45:00","Germany (DE)","Biomass","4067.43"
"01/01/2026 03:45:00 - 01/01/2026 04:00:00","Germany (DE)","Biomass","4078.72"
"01/01/2026 04:00:00 - 01/01/2026 04:15:00","Germany (DE)","Biomass","4080.81"
"01/01/2026 04:15:00 - 01/01/2026 04:30:00","Germany (DE)","Biomass","4079.28"
"01/01/2026 04:30:00 - 01/01/2026 04:45:00","Germany (DE)","Biomass","4082.08"
"01/01/2026 04:45:00 - 01/01/2026 05:00:00","Germany (DE)","Biomass","4091.94"
"01/01/2026 05:00:00 - 01/01/2026 05:15:00","Germany (DE)","Biomass","4098.99"
"01/01/2026 05:15:00 - 01/01/2026 05:30:00","Germany (DE)","Biomass","4099.83"
"01/01/2026 05:30:00 - 01/01/2026 05:45:00","Germany (DE)","Biomass","4108.66"
"01/01/2026 05:45:00 - 01/01/2026 06:00:00","Germany (DE)","Biomass","4116.05"
"01/01/2026 06:00:00 - 01/01/2026 06:15:00","Germany (DE)","Biomass","4144.87"
"01/01/2026 06:15:00 - 01/01/2026 06:30:00","Germany (DE)","Biomass","4161.27"
"01/01/2026 06:30:00 - 01/01/2026 06:45:00","Germany (DE)","Biomass","4172.14"
"01/01/2026 06:45:00 - 01/01/2026 07:00:00","Germany (DE)","Biomass","4182.13"
"01/01/2026 07:00:00 - 01/01/2026 07:15:00","Germany (DE)","Biomass","4234.62"
"01/01/2026 07:15:00 - 01/01/2026 07:30:00","Germany (DE)","Biomass","4264.86"
"01/01/2026 07:30:00 - 01/01/2026 07:45:00","Germany (DE)","Biomass","4276.12"
"01/01/2026 07:45:00 - 01/01/2026 08:00:00","Germany (DE)","Biomass","4292.38"
"01/01/2026 08:00:00 - 01/01/2026 08:15:00","Germany (DE)","Biomass","4324.88"
"01/01/2026 08:15:00 - 01/01/2026 08:30:00","Germany (DE)","Biomass","4345.10"
"01/01/2026 08:30:00 - 01/01/2026 08:45:00","Germany (DE)","Biomass","4341.28"
"01/01/2026 08:45:00 - 01/01/2026 09:00:00","Germany (DE)","Biomass","4370.74"
"01/01/2026 09:00:00 - 01/01/2026 09:15:00","Germany (DE)","Biomass","4379.20"
"01/01/2026 09:15:00 - 01/01/2026 09:30:00","Germany (DE)","Biomass","4372.21"
"01/01/2026 09:30:00 - 01/01/2026 09:45:00","Germany (DE)","Biomass","4377.12"
"01/01/2026 09:45:00 - 01/01/2026 10:00:00","Germany (DE)","Biomass","4391.24"
"01/01/2026 10:00:00 - 01/01/2026 10:15:00","Germany (DE)","Biomass","4362.78"
"01/01/2026 10:15:00 - 01/01/2026 10:30:00","Germany (DE)","Biomass","4375.77"
"01/01/2026 10:30:00 - 01/01/2026 10:45:00","Germany (DE)","Biomass","4379.50"
"01/01/2026 10:45:00 - 01/01/2026 11:00:00","Germany (DE)","Biomass","4380.17"
"01/01/2026 11:00:00 - 01/01/2026 11:15:00","Germany (DE)","Biomass","4365.21"
"01/01/2026 11:15:00 - 01/01/2026 11:30:00","Germany (DE)","Biomass","4359.75"
"01/01/2026 11:30:00 - 01/01/2026 11:45:00","Germany (DE)","Biomass","4369.24"
"01/01/2026 11:45:00 - 01/01/2026 12:00:00","Germany (DE)","Biomass","4363.16"
"01/01/2026 12:00:00 - 01/01/2026 12:15:00","Germany (DE)","Biomass","4314.49"
"01/01/2026 12:15:00 - 01/01/2026 12:30:00","Germany (DE)","Biomass","4313.09"
"01/01/2026 12:30:00 - 01/01/2026 12:45:00","Germany (DE)","Biomass","4293.45"
"01/01/2026 12:45:00 - 01/01/2026 13:00:00","Germany (DE)","Biomass","4282.29"
"01/01/2026 13:00:00 - 01/01/2026 13:15:00","Germany (DE)","Biomass","4256.71"
"01/01/2026 13:15:00 - 01/01/2026 13:30:00","Germany (DE)","Biomass","4253.24"
"01/01/2026 13:30:00 - 01/01/2026 13:45:00","Germany (DE)","Biomass","4255.84"
"01/01/2026 13:45:00 - 01/01/2026 14:00:00","Germany (DE)","Biomass","4260.30"
"01/01/2026 14:00:00 - 01/01/2026 14:15:00","Germany (DE)","Biomass","4252.77"
"01/01/2026 14:15:00 - 01/01/2026 14:30:00","Germany (DE)","Biomass","4269.64"
"01/01/2026 14:30:00 - 01/01/2026 14:45:00","Germany (DE)","Biomass","4276.75"
"01/01/2026 14:45:00 - 01/01/2026 15:00:00","Germany (DE)","Biomass","4274.15"
"01/01/2026 15:00:00 - 01/01/2026 15:15:00","Germany (DE)","Biomass","4292.72"
