"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Germany (DE)","Austria (AT)","2417.40"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Austria (AT)","Germany (DE)","0.00"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Germany (DE)","Belgium (BE)","992.88"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Belgium (BE)","Germany (DE)","0.00"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Germany (DE)","Czech Republic (CZ)","1841.78"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Czech Republic (CZ)","Germany (DE)","0.00"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Germany (DE)","Denmark (DK)","139.06"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Denmark (DK)","Germany (DE)","0.00"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Germany (DE)","France (FR)","992.13"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Germany (DE)","Luxembourg (LU)","376.77"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Luxembourg (LU)","Germany (DE)","0.00"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Germany (DE)","Netherlands (NL)","1187.22"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Netherlands (NL)","Germany (DE)","0.00"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Germany (DE)","Norway (NO)","0.00"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Norway (NO)","Germany (DE)","622.40"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Germany (DE)","Poland (PL)","1905.85"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Poland (PL)","Germany (DE)","0.00"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Germany (DE)","Sweden (SE)","0.00"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","Sweden (SE)","Germany (DE)","216.86"
