Time,Biomass,Energy storage,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and pondage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,AT,BE,CH,CZ,DK,FR,LU,NL,NO,PL,SE
2025-01-01 00:00:00,3887,0,3260,618,4703,2892,382,0,0,33,646,1332,135,0,0,212,98,10,705,2508,32896,0,0,0,0,0,458,0,574,0,0,0
2025-01-01 00:30:00,3750,0,3279,573,4682,2721,382,0,0,33,271,1349,67,0,0,212,98,9,705,2496,32855,0,0,0,0,0,458,0,574,0,0,0
2025-01-01 01:00:00,3776,0,3844,565,4369,2717,382,0,0,33,226,1325,44,0,0,212,98,10,705,2381,33367,0,0,0,0,0,465,0,576,0,0,0
2025-01-01 01:30:00,3750,0,3634,574,4286,2721,382,0,0,33,62,1336,55,0,0,212,98,9,709,2409,33673,0,0,0,0,0,465,0,576,0,0,0
2025-01-01 02:00:00,3728,0,3283,548,4211,2724,382,0,0,33,2,1311,26,0,0,212,98,9,705,2670,33843,0,0,0,0,41,453,0,571,0,0,0
2025-01-01 02:30:00,3746,0,3247,528,4224,2710,382,0,0,33,0,1319,32,0,0,212,98,9,706,2558,33691,0,0,0,0,41,453,0,571,0,0,0
2025-01-01 03:00:00,3747,0,3228,496,4228,2680,382,0,0,34,194,1306,22,0,0,212,95,10,699,1776,32665,0,65,0,0,158,556,0,725,0,0,0
2025-01-01 03:30:00,3733,0,3225,493,4331,2599,382,0,0,34,0,1292,12,0,0,211,92,9,703,1592,33087,0,65,0,0,158,556,0,725,0,0,0
2025-01-01 04:00:00,3723,0,3246,482,4345,2598,382,0,0,34,6,1295,39,0,0,212,95,9,701,1402,33010,0,143,0,0,313,605,0,914,0,0,0
2025-01-01 04:30:00,3705,0,3229,466,4325,2568,382,0,0,34,1,1292,17,0,0,212,92,9,704,1254,33218,0,143,0,0,313,605,0,914,0,0,0
2025-01-01 05:00:00,3704,0,3220,470,4458,2398,382,0,0,34,0,1285,10,0,0,211,94,9,709,1249,33462,0,127,0,0,267,738,0,747,0,0,0
2025-01-01 05:30:00,3728,0,3228,462,4470,2409,382,0,0,33,0,1290,12,0,0,212,98,9,704,1077,33680,0,127,0,0,267,738,0,747,0,0,0
2025-01-01 06:00:00,3752,0,3242,473,4453,2330,382,0,0,33,27,1294,45,0,0,210,96,10,705,971,35422,0,77,0,0,61,842,0,492,0,0,0
2025-01-01 06:30:00,3751,0,3232,459,4503,2206,382,0,0,33,7,1303,59,0,0,210,96,11,704,1103,35459,0,77,0,0,61,842,0,492,0,0,0
