,Biomass,Energy storage,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and pondage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,AT,BE,CH,CZ,DK,FR,LU,NL,NO,PL,SE
2026-01-01 00:00:00,4106,0,4193,592,6521,4643,395,0,0,23,872,790,17,0,0,219,74,0,661,2715,31877,0,0,0,0,0,0,0,0,326,0,217
2026-01-01 00:30:00,4097,0,3702,610,6174,4418,396,0,0,23,319,783,56,0,0,219,74,0,659,3007,33369,0,0,0,0,0,0,0,0,0,0,217
2026-01-01 01:00:00,4072,0,3107,583,5776,4430,395,0,0,23,412,794,87,0,0,219,74,0,647,3522,33997,0,0,0,0,489,0,0,0,0,0,209
2026-01-01 01:30:00,4074,0,3057,570,5408,4469,395,0,0,23,169,783,118,0,0,219,74,0,639,3922,34359,0,0,0,0,155,0,0,0,0,0,113
2026-01-01 02:00:00,4072,0,2854,577,4967,4509,395,0,0,23,90,784,48,0,0,219,74,0,609,4469,34953,0,107,0,0,0,0,0,0,0,0,195
2026-01-01 02:30:00,4066,0,2777,574,4743,4525,395,0,0,23,172,786,72,0,0,219,74,0,614,4665,35516,0,149,0,0,0,0,0,0,0,0,114
2026-01-01 03:00:00,4068,0,2333,597,4481,4420,395,0,0,23,300,787,23,0,0,219,74,0,612,4937,36363,0,138,0,0,0,0,0,0,0,0,0
2026-01-01 03:30:00,4073,0,2356,615,4516,4438,395,0,0,23,150,793,13,0,0,219,74,0,611,5193,36891,0,181,0,0,0,0,0,0,0,0,0
2026-01-01 04:00:00,4080,0,2345,626,4442,4387,395,0,0,23,326,793,13,0,0,219,74,0,611,4977,37348,0,0,0,0,0,0,0,0,0,0,0
2026-01-01 04:30:00,4087,0,2314,605,4464,4417,395,0,0,23,147,794,14,0,0,219,74,0,612,5031,37421,0,25,0,0,0,0,0,0,0,0,0
2026-01-01 05:00:00,4099,0,2319,567,4488,4325,395,0,0,23,191,786,14,0,0,219,74,0,618,4228,37870,0,0,0,0,0,0,0,119,0,0,0
2026-01-01 05:30:00,4112,0,2344,593,4478,4307,395,0,0,23,264,779,14,0,0,219,74,0,611,4025,38392,0,0,0,0,0,0,0,107,0,0,0
2026-01-01 06:00:00,4153,0,2521,598,4531,4339,504,0,0,23,76,757,15,0,0,219,74,0,604,3046,40469,0,0,0,0,0,0,0,0,0,0,0
2026-01-01 06:30:00,4177,0,2509,614,4536,4306,434,0,0,23,86,766,16,0,0,219,74,0,611,2641,40858,0,0,0,0,0,0,0,48,0,0,0
2026-01-01 07:00:00,4250,0,2419,621,4605,4305,395,0,0,23,43,774,86,0,0,211,74,0,609,2147,41692,0,0,0,0,0,0,0,208,0,0,0
2026-01-01 07:30:00,4284,0,2448,621,4568,4255,395,0,0,23,138,770,90,0,0,194,74,0,604,2184,41981,0,0,0,0,0,0,0,8,0,0,0
2026-01-01 08:00:00,4335,0,2342,618,4466,4181,395,0,0,23,85,769,71,0,0,194,74,77,613,3130,42148,0,51,0,0,0,0,0,0,0,0,0
2026-01-01 08:30:00,4356,0,2414,622,4402,4340,395,0,0,23,370,776,46,0,0,194,74,1051,612,3070,42080,0,20,0,0,0,0,0,0,0,0,0
